date	PUBWEEK	title
October 1, 2014 Wednesday  Edition 2; National Edition 	39	Fears of more victims as first case of Ebola reaches the US 
September 26, 2014 Friday 	38	Obama warns world not to expect US to combat Ebola alone: President tells UN meeting progress is still too slow: Intentions are good, but 'everyone has to do more' 
September 25, 2014 Thursday  Edition 1; National Edition 	38	Why I'm going to Africa to tackle Ebola; An NHS doctor says she is proud to be in the front-line fight against this devastating disease 
September 24, 2014 Wednesday 	38	BRITISH MEDICS SIGN UP TO HELP THE EBOLA CRISIS 
September 24, 2014 Wednesday  Edition 2; National Edition 	38	Ebola survivor to give blood plasma 
September 22, 2014 Monday  Edition 1; National Edition 	38	92 more bodies found during Ebola lockdown; World Bulletin 
September 18, 2014 Thursday  Edition 1; National Edition 	37	Ebola Briton's blood mission to help friend in America; Nurse who survived virus hopes his antibodies will save US aid worker who has been infected 
September 18, 2014 Thursday 	37	Briton's US aid mission 
September 17, 2014 	37	Arcelormittal Launches Contact Tracing Project 
September 10, 2014 Wednesday 	36	Sorry mum, I'm going back: Briton who beat Ebola plans return to Sierra Leone: Nurse says return to fight outbreak in Africa would be 'the least I could do 
September 08, 2014 	36	S. Leone Govt Takes Strong Action Against Ebola - Locks Up Country for Three Days 
September 5, 2014 Friday 	35	Front: Thankless, dangerous - the task of the Ebola burial boys: For the virus to be stopped, bodies have to be buried. Monica Mark in Kailahun meets the team who do it 
September 05, 2014 	35	Another American Doctor Is Ebola Positive 
September 4, 2014 Thursday 	35	I'M FINE! EBOLA NURSE WALKS OUT OF HOSPITAL 
September 4, 2014 Thursday  Edition 2; National Edition 	35	"They incinerated my passport. My mum is pleased to know I'm not going anywhere'; "They incinerated my passport. My mum is pleased to know I'm not anywhere' 
September 4, 2014 Thursday  Edition 1; Scotland 	35	Cured of Ebola, now stay at home, son 
September 4, 2014 Thursday 	35	'I feel lucky to be alive,' says Briton who survived Ebola: Nurse gets all-clear after Sierra Leone evacuation: Aid worker treated with experimental drug ZMapp 
September 4, 2014 Thursday 	35	UK government urged to allow NHS staff to help Africa's fight against Ebola 
September 3, 2014 Wednesday 	35	British Ebola patient Will Pooley discharged from hospital 
September 3, 2014 Wednesday 	35	Second American doctor diagnosed with Ebola identified as Rick Sacra 
September 2, 2014 Tuesday 	35	UK EBOLA VICTIM RECOVERING...ON BACON BUTTY DIET 
September 2, 2014 Tuesday  Edition 1; Scotland 	35	Ebola nurse recovering with bacon sandwiches; News Bulletin 
September 2, 2014 Tuesday 	35	British Ebola patient seems 'pretty well', says his father 
September 2, 2014 Tuesday 	35	British Ebola patient seems 'pretty well', says his father 
August 30, 2014 Saturday  Edition 1; Scotland 	34	Hope of Ebola cure after drug taken by British sufferer passes trial; Experimental treatment for disease proves effective for monkeys 
August 30, 2014 Saturday  Edition 1; National Edition 	34	Hope of a cure as drug taken by Ebola briton passes trial 
August 29, 2014 Friday 	34	UK SCIENTISTS READY TO TEST THE FIRST VACCINE FOR EBOLA 
August 29, 2014 Friday  Edition 1; National Edition 	34	Ebola in Britain; Letters to the Editor 
August 29, 2014 Friday  Edition 2; National Edition 	34	Ebola could have 20,000 victims in West Africa, UN experts warn 
August 28, 2014 Thursday 	34	Third doctor dies in Sierra Leone as some aid workers are withdrawn 
August 28, 2014 Thursday 	34	GSK to start production of Ebola vaccine as tests on humans begin 
August 27, 2014 Wednesday 	34	A SELFLESS HERO TO LIFT OUR HEARTS 
August 27, 2014 Wednesday 	34	A SELFLESS HERO TO LIFT OUR HEARTS 
August 27, 2014 Wednesday  Edition 1; National Edition 	34	Faith can be the perfect antidote to mean spirits 
August 27, 2014 Wednesday  Edition 1; Scotland 	34	Ebola Briton sitting up in bed and talking; Male nurse taking experimental drug and in good spirits but his London doctors say the next few days will be crucial 
August 27, 2014 Wednesday 	34	Ebola virus: Infected nurse given experimental drug: UK hospital chief says patient is doing well: Next few days expected to be critical for recovery 
August 27, 2014 Wednesday 	34	Ebola Virus: 'At the start, I could feel the horror, but you quickly get used to it' 
August 26, 2014 Tuesday 	34	MY HAPPINESS AT HELPING SAVE EBOLA PATIENTS, 
August 26, 2014 Tuesday 	34	FEAR AND PRIDE AT ISOLATION HOSPITAL 
August 26, 2014 Tuesday 	34	Q & A 
August 26, 2014 Tuesday  Edition 2; National Edition 	34	Aid workers are too often the unsung heroes; THE DAILY TELEGRAPH Established 1855 
August 26, 2014 Tuesday  Edition 3; National Edition 	34	Japan offers flu drug that may treat disease 
August 26, 2014 Tuesday  Edition 3; National Edition 	34	Ebola Briton saved dozens of victims; 'It's the easiest situation to make a difference' British male nurse told of help he could give while standing firm to keep hospital open as other medical staff fled in terror from new outbreak 
August 26, 2014 Tuesday 	34	Diary: Diary Hugh Muir 
August 26, 2014 Tuesday 	34	Fifth country confirms outbreak: Democratic Republic of the Congo 
August 26, 2014 Tuesday 	34	Infected nurse airlifted from Ebola zone spoke of joy at seeing patients recover: Colleagues say volunteer understood risks involved Family praises 'excellent care' at London hospital 
August 26, 2014 Tuesday 	34	Shortcuts: Virology: Ebola is in Britain - but don't panic 
August 26, 2014 Tuesday 	34	Diary: Hugh Muir 
August 26, 2014 Tuesday 	34	Democratic Republic of the Congo: Fifth country confirms outbreak 
August 26, 2014 Tuesday 	34	Infected nurse airlifted from Ebola zone spoke of joy at seeing patients recover: Colleagues say volunteer understood risks involved: Family praises 'excellent care' at London hospital 
August 26, 2014 Tuesday 	34	G2: Shortcuts: Virology: Ebola is in Britain - but don't panic 
August 26, 2014 Tuesday 	34	British Ebola victim Will Pooley taking experimental drug ZMapp 
